,customer_id,gender,DateOfBirth,State,Contact,Segment,claim_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent,flag
0,21868593,Female,1979-01-12,VT,789-916-8172,Platinum,54004764,Driver error,2017-11-27,Auto,No,Material only,2980.0,1,No,1
1,75740424,Female,1970-01-13,ME,265-543-1264,Silver,33985796,Crime,2018-10-03,Home,Unknown,Material only,2980.0,3,No,0
3,30308357,Female,1984-03-11,TN,798-631-4758,Silver,63017412,Driver error,2018-04-04,Auto,No,Material only,1950.0,6,No,1
5,47830476,Female,1986-05-01,MA,413-187-7945,Silver,91609100,Natural causes,2017-04-12,Auto,Unknown,Material only,1440.0,1,No,0
7,19269962,Male,1977-05-13,NV,956-871-8691,Gold,39219616,Other causes,2018-09-26,Auto,No,Material only,2240.0,2,No,1
9,21831191,Male,1977-05-17,NH,419-712-8513,Gold,91475471,Driver error,2018-02-09,Auto,Unknown,Material and injury,36810.0,1,No,0
10,18401412,Male,1999-03-02,AR,752-398-2914,Gold,12878692,Driver error,2018-01-13,Auto,No,Material only,1730.0,4,No,1
11,73486606,Male,1999-10-25,AK,256-968-9172,Silver,27026412,Natural causes,2018-04-10,Auto,No,Material only,1160.0,3,No,1
12,32813689,Male,1993-10-12,ID,142-324-7481,Silver,43908336,Crime,2018-02-15,Auto,Unknown,Material only,2620.0,1,No,0
13,33507197,Female,1966-09-09,RI,165-519-4583,Gold,63246959,Crime,2017-07-22,Auto,No,Material only,2748.5,2,Yes,1
14,99103685,Female,1985-12-30,KY,764-439-9856,Gold,74165873,Other driver error,2018-01-13,Home,No,Material only,1495.0,1,Yes,1
15,51583214,Male,1999-10-31,NH,743-486-5264,Platinum,28564401,Other driver error,2017-12-10,Auto,Unknown,Material and injury,16690.0,1,No,0
16,35875366,Male,1990-09-16,MD,954-964-1746,Platinum,72738047,Other driver error,2018-04-24,Auto,Unknown,Material only,1870.0,1,No,0
17,21240703,Male,1963-07-22,MD,473-561-2675,Silver,53780662,Other driver error,2018-09-19,Auto,Unknown,Material only,1050.0,1,No,0
18,18288638,Female,1969-01-14,MI,314-135-1359,Platinum,67257404,Other driver error,2018-04-24,Auto,Yes,Injury only,32560.0,1,No,1
19,63240241,Male,1977-07-26,ME,843-379-4796,Silver,35489765,Natural causes,2018-10-03,Auto,No,Material only,2870.0,1,No,1
20,1407979,Male,1987-03-15,RI,165-217-1648,Silver,12548447,Driver error,2018-06-03,Auto,Unknown,Material only,3208.5,1,Yes,0
21,63916778,Male,1966-09-07,IL,146-157-4572,Platinum,7809917,Other causes,2017-07-22,Auto,No,Injury only,17800.0,1,No,1
22,17004138,Female,1965-08-13,WA,436-354-4682,Silver,29205389,Natural causes,2017-06-25,Auto,No,Injury only,31380.0,1,No,1
23,9667764,Female,1979-10-10,SC,643-978-8251,Platinum,19051665,Other causes,2017-12-17,Auto,Yes,Injury only,36190.0,1,No,1
24,75584003,Female,1967-04-22,OK,723-418-3248,Silver,32630720,Crime,2017-02-03,Auto,No,Material only,12467.68,1,No,1
25,90012444,Male,1974-08-08,KS,749-961-7265,Platinum,17910612,Other driver error,2017-08-24,Auto,No,Material only,1010.0,1,No,1
26,10665308,Male,1999-06-21,CT,324-971-8395,Silver,46956597,Natural causes,2018-07-20,Auto,No,Material only,12467.68,1,No,1
27,35597589,Female,1980-02-17,IN,826-731-3964,Gold,68848682,Other driver error,2017-05-29,Auto,Yes,Injury only,16830.0,1,No,1
28,1924109,Male,1981-12-13,UT,431-179-6475,Gold,8782253,Driver error,2017-09-14,Auto,No,Material only,1690.0,1,No,1
29,12871942,Female,1995-04-01,IN,591-436-5176,Platinum,41262918,Natural causes,2017-04-25,Auto,No,Material only,2830.0,1,No,1
30,32155446,Male,1985-05-07,AZ,847-936-7645,Gold,71088680,Driver error,2017-12-24,Auto,No,Material and injury,32640.0,4,No,1
31,35876516,Male,1996-10-29,IL,496-426-6748,Silver,54764639,Driver error,2018-08-10,Auto,No,Material only,2870.0,1,No,1
32,13265356,Female,1962-07-27,IA,462-587-7532,Silver,52278305,Driver error,2017-10-17,Home,No,Material only,1210.0,1,No,1
33,80379865,Male,1969-02-27,NM,427-513-8479,Gold,18210740,Natural causes,2018-02-09,Auto,No,Injury only,18580.0,1,No,1
34,64899302,Male,1994-07-17,WI,784-623-7631,Platinum,22215431,Other driver error,2018-06-23,Auto,No,Material only,2630.0,1,No,1
35,11278282,Male,1968-04-12,RI,148-178-1792,Silver,10738822,Natural causes,2018-08-10,Auto,No,Material only,2540.0,1,No,1
36,90425966,Male,1971-12-23,WY,942-259-7583,Silver,7800059,Driver error,2018-03-01,Auto,No,Material only,2320.0,1,No,1
37,70459181,Female,1988-09-03,NY,493-937-8297,Platinum,16773361,Other driver error,2017-10-10,Auto,No,Material only,2725.5,1,Yes,1
38,91546921,Male,1974-09-22,LA,496-784-4836,Platinum,99427250,Crime,2018-05-21,Home,No,Material only,2070.0,1,No,1
39,26489135,Male,1994-10-05,DE,654-456-1493,Platinum,70399158,Driver error,2017-07-01,Auto,No,Material only,1110.0,1,No,1
40,76422302,Male,1989-06-04,GA,958-971-7983,Gold,5481268,Crime,2017-10-31,Home,No,Material only,1030.0,1,No,1
41,27205554,Male,1976-04-12,RI,521-912-8139,Silver,13167216,Driver error,2018-05-14,Auto,No,Injury only,16910.0,1,No,1
42,60225946,Female,1977-08-27,OH,715-356-4572,Gold,30942972,Other causes,2017-02-17,Auto,No,Material only,1890.0,1,No,1
43,34790013,Male,1979-01-17,NY,935-615-6297,Platinum,13578273,Other driver error,2017-12-24,Auto,Yes,Material and injury,33040.0,5,No,1
44,53333796,Male,1990-05-23,RI,857-215-9123,Gold,22639991,Other causes,2018-10-09,Auto,Yes,Material and injury,25320.0,1,No,1
45,28307541,Male,1981-12-14,WY,763-156-1836,Gold,73894966,Driver error,2017-11-27,Auto,No,Material only,2340.0,1,No,1
46,85536059,Female,1975-04-26,SD,145-285-4675,Platinum,64959397,Other driver error,2017-04-25,Auto,Yes,Material and injury,33000.0,2,No,1
47,54642094,Male,1995-08-10,NY,963-813-1973,Silver,3673097,Driver error,2017-04-12,Auto,No,Injury only,19960.0,1,No,1
48,47091036,Male,1986-10-22,SD,247-436-8713,Gold,58245818,Driver error,2018-07-27,Home,No,Injury only,27230.0,1,No,1
49,48277275,Male,1996-03-27,WV,928-469-4368,Silver,83744906,Other driver error,2017-04-12,Auto,No,Material and injury,16150.0,1,No,1
50,75252854,Male,1995-08-30,NH,542-927-5413,Gold,14836805,Other driver error,2017-02-23,Auto,Yes,Injury only,32630.0,1,No,1
51,31012778,Female,1993-06-09,MA,328-683-8359,Gold,28636278,Other causes,2018-03-01,Auto,No,Material only,12467.68,5,Yes,1
52,84571128,Female,1995-08-16,ME,946-639-5932,Gold,96749077,Natural causes,2017-05-15,Auto,No,Material only,12467.68,1,Yes,1
53,38286862,Female,1994-11-24,NJ,791-831-2514,Gold,40638641,Other causes,2017-10-31,Auto,Unknown,Material and injury,41850.0,1,No,0
54,1163515,Female,1995-02-03,TX,978-352-7634,Silver,94303580,Crime,2017-04-25,Auto,Yes,Injury only,30540.0,1,No,1
55,18361978,Female,1994-07-10,CA,463-645-2453,Platinum,39647651,Other causes,2017-08-31,Auto,Unknown,Material and injury,25576.0,7,Yes,0
56,94953428,Female,1977-12-07,DE,671-517-9548,Gold,97983922,Other causes,2017-06-18,Auto,No,Material only,2210.0,3,No,1
